full_text,text_clean,class
padahal nih yah ga usah pada banyak cingcong itu orang2 surabaya bandung medan kalo mereka ada niat mereka bisa bikin transportasi umum sendiri kayak di jkt misalnya sebelum jaklingko itu banyak org jkt inisiatif bikin perusahaan angkutan swasta mobil carry tu misal,perlu cingcong orang surabaya bandung medan niat buat transportasi umum jakarta misal jaklingko orang jakarta inisiatif buat usaha angkut swasta mobil carry misal,0
Bisa naik jaklingko dari cipayung ke tamini 0 rupiah aja wkwkwk tp agak lumayan si jalannya dari asrama ke gapura cpygnya,naik jaklingko cipayung tamini rupiah wkwkwk lumayan jalan asrama gapura cpygnya,1
gw banget lagi terus naik jaklingko gratis ke pelni,banget terus naik jaklingko gratis pelni,1
Ya mesti dibuat Stasiun baru karna Stasiun terdekat di Ancol Halte Busway JIS mesti di aktifkan dan terintegrasi dengan JakLingko JIS memang perlu diperbaiki di beberapa aspek,mesti buat stasiun baru stasiun dekat ancol halte busway mesti aktif integrasi jaklingko perlu baik aspek,2
Nilai tauladan yg bisa diambil dari nunggu jaklingko jam segini adalah yakin dan sabar kalau pasti ada jaklingko yg masih lewat,nilai tauladan ambil nunggu jaklingko gin yakin sabar jaklingko lewat,0
keluar rs nunggu jaklingko bentar lgsg ada nunggu di halte buat naik tj bentar lgsg ada jg transit nunggu bentar lg lgsg ada jg dannnn itu semua lowong alias ga ada tu war duduk makasiiiii yg long weekend aku happy ko hehe soalnya sepi dan aman,keluar nunggu jaklingko sebentar langsung nunggu halte naik trans jakarta sebentar langsung transit nunggu sebentar langsung dannnn lowong alias duduk makasiiiii long weekend bahagia soal sepi aman,1
Transjakarta min kartu jaklingko ini bisa buat masuk ragunan ga ya,transjakarta kartu jaklingko masuk ragunan,0
Sopir2 jaklingko skrng jutek2 bgt bjirrr,sopir jaklingko sekarang galak banget bjirrr,2
Jangan lupakan angkot JakLingko yg gratis itu Asli deh di Jakarta tuh enak transportasinya tinggal pinter2 milih rute dan sesuaikan waktu perjalanan aja,lupa angkot jaklingko gratis asli jakarta enak transportasi tinggal pinter milih rute sesuai waktu jalan,1
tadi aku naik angkot jaklingko for the firsttt time wkwkwkwk agak nunggu setengah jam sih tp ok bgt udah free trus bus stop nya jd pas dikosan aku,naik angkot jaklingko firsttt time wkwkwkwk nunggu tengah banget bebas terus henti jadi dikosan,1
