created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed May 31 23:31:16 +0000 2023;1664051952999866369;"@PT_Transjakarta Berarti bisa Turun di luar halte ya min? Tolong armadanya yg banyak ya min jangan pakai bus bus kecil uda jelek gitu, sm jaklingko yg bisa ke arah belakang bellatera juga disitu dibanyakin";0;0;0;0;in;92411492;1663955509546995717;ayyamame;https://twitter.com/ayyamame/status/1664051952999866369
Wed May 31 22:56:22 +0000 2023;1664043168768344064;"@PT_Transjakarta Terima kasih @PT_Transjakarta .. Sudah mau merespon keluhan penggunaan angkutan jaklingko dan sebagainya..";0;0;0;0;in;1497744775679975425;1663955509546995717;Aguswahyudi0405;https://twitter.com/Aguswahyudi0405/status/1664043168768344064
Wed May 31 20:21:27 +0000 2023;1664004182809153536;"@PT_Transjakarta Karena guru dan karyawan penggunaan jaklingko dan minitrans, jika tidak ada stop bus, kita sulit untuk memberhentikan jaklingko dan sebagainya";0;1;0;0;in;1497744775679975425;1663955509546995717;Aguswahyudi0405;https://twitter.com/Aguswahyudi0405/status/1664004182809153536
Wed May 31 19:40:33 +0000 2023;1663993890863747072;"@Esensi_TV @convomf JakLingko udh bisa buat semua tapping berarti ya min";0;1;0;0;in;1404924217280196610;1663908250998243333;untitledzzzzz;https://twitter.com/untitledzzzzz/status/1663993890863747072
Wed May 31 18:21:19 +0000 2023;1663973948919361536;"@Flyahni @SMHP_0607 Hai, Kak. Sesuai dengan informasi sebelumnya. Informasi lebih lengkap, Kakak dapat menghubungi Jaklingko WhatsApp 081 260 001 44 atau Instagram jaklingkoindonesia ya. Terima kasih.";0;0;0;0;in;78847590;1508327314907877381;mrtjakarta;https://twitter.com/mrtjakarta/status/1663973948919361536
Wed May 31 17:57:04 +0000 2023;1663967848300175360;"tadi pas pulang, aku bantu nenek" masuk jaklingko trs aku bantu ngetap kartunya, nah lagu di jaklingkonya juga mellowwww, aku dah berkaca" keinget mbahuti, tapi malu kalo nangis wkwkwk, trs aku pamit ke neneknya pas mau turun";0;1;0;3;in;1300145547974565888;1663967848300175360;oniklaper;https://twitter.com/oniklaper/status/1663967848300175360
Wed May 31 16:08:59 +0000 2023;1663940645369819137;"Casing dong buat naro jaklingko soalnya";0;0;0;0;in;1662067590611759105;1663940645369819137;go_meygul;https://twitter.com/go_meygul/status/1663940645369819137
Wed May 31 15:52:20 +0000 2023;1663936455293501445;"@GerhanaEvran Hai Kak. Mengenai saldo terpotong 2 kali, silakan laporkan ke nomor Customer Care JakLingko yang dapat di hubungi : 📱 (Whatsapp) : 0812-6000-1440 ☎️ (Phone) : 021-29223034 📩 (Email) : customercare@jaklingkoindonesia.co.id. Terima kasih ^WY";0;0;0;0;in;104556071;1663865692507209733;PT_Transjakarta;https://twitter.com/PT_Transjakarta/status/1663936455293501445
Wed May 31 15:00:01 +0000 2023;1663923293252927495;"Dulu sebelum ada jaklingko/angkot gratis/KWK kalo penumpangnya cuma sedikit dan macet pasti udh diturunin sembarangan karena abangnya mau putbal dan seringnya ttp disuruh bayar. Udh jam 21.38 msh macat parah, penumpang cuma 3 ga takut diturunin sembarangan lg skrg 💕 https://t.co/6kpcQ5UuhH";0;1;0;0;in;61754146;1663923293252927495;helloENS;https://twitter.com/helloENS/status/1663923293252927495
Wed May 31 14:17:20 +0000 2023;1663912551061549062;"@convomf Bisa nder! MinEs pengguna kartu JakLingko, kartu ini udah MinEs cobain buat tj/krl/mrt/tol dan semuanya ternyata bisa!^^";0;1;0;0;in;1656562862201122817;1663908250998243333;Esensi_TV;https://twitter.com/Esensi_TV/status/1663912551061549062
Wed May 31 13:47:27 +0000 2023;1663905028606763017;"Angkot jaklingko ga terima penumpang malem-malem? @jaklingkojkt";0;0;0;0;in;696186604583452672;1663905028606763017;jernyrubyjane;https://twitter.com/jernyrubyjane/status/1663905028606763017
Wed May 31 14:00:15 +0000 2023;1663908250998243333;"💙  sender mw nanya kalau naik krl bisa pke kartu jaklingko yg ini gak si? https://t.co/IKQkBZzx7L";2;18;0;11;in;1314975287294083073;1663908250998243333;convomf;https://twitter.com/convomf/status/1663908250998243333
Wed May 31 13:17:52 +0000 2023;1663897583805235200;"@Almabadawi9 @kumparan Ah bacot, tinggal dijakarta juga kaga lu tolol.  Gapernah liat kampung kamlung yg dulu asal ujan banjir skrg udh ga banjir, atau minimal susut lebih cpt, pkerja jakarta yg terbantu program jaklingko, JIS ,formula E, taman taman, dan sebagainya Buta mata buta hati. Sampah.";0;0;0;0;in;2694945210;1663558149264257035;galonkosongid;https://twitter.com/galonkosongid/status/1663897583805235200
Wed May 31 12:52:55 +0000 2023;1663891306496786435;"Jaklingko 51, taman kota - budi luhur.";0;0;0;0;in;1054180395334295552;1663890556525907968;gratefulandlove;https://twitter.com/gratefulandlove/status/1663891306496786435
Wed May 31 12:49:56 +0000 2023;1663890556525907968;"@PT_Transjakarta min tolong banget ini mah buat driver yg bawa mobil jaklingko di jam 19.00-20.00 kwk-1073, kalo bawa mobil yang bener, masa gue belum duduk udah main gas aja untung ngga ke dorong ke belakang, ada polisi tidur remnya ngga kira" penumpang jadi loncat ke atas, -";0;2;0;0;in;1054180395334295552;1663890556525907968;gratefulandlove;https://twitter.com/gratefulandlove/status/1663890556525907968
Wed May 31 12:33:02 +0000 2023;1663886301366751235;"Gue tadi selama di dlm jaklingko: https://t.co/iLStiPu27W";0;0;0;0;in;904446758834495488;1663886301366751235;choorooroo;https://twitter.com/choorooroo/status/1663886301366751235
Wed May 31 12:20:46 +0000 2023;1663883215495634946;"@kegblgnunfaedh JAKLINGKO BANGTT ANJRT😭";0;0;0;0;in;1638763142082867203;1663532963559247875;jmetnai;https://twitter.com/jmetnai/status/1663883215495634946
Wed May 31 11:54:35 +0000 2023;1663876626889990144;"Udh 2 jam gue di jaklingko, dr elang laut UDAH 2 JAM dan skarang baru sampe di ramayana cengkareng. Macet bangeeeeet";0;1;0;0;in;904446758834495488;1663876626889990144;choorooroo;https://twitter.com/choorooroo/status/1663876626889990144
Wed May 31 11:35:05 +0000 2023;1663871717469720587;"@kegblgnunfaedh jaklingko lebih parah🙏🏼";0;0;0;0;in;1251539027636793344;1663532963559247875;stillaslaa;https://twitter.com/stillaslaa/status/1663871717469720587
Wed May 31 10:20:38 +0000 2023;1663852983673815040;"Anjer iya ga sabaran bgt asu. Naik jaklingko jga kdng suka bgtu:)";0;0;0;0;in;1547715255467671553;1663852983673815040;JJLuv_Ra;https://twitter.com/JJLuv_Ra/status/1663852983673815040
Wed May 31 10:05:38 +0000 2023;1663849206287855617;"yee ngajak ngmg supir jaklingko bisa tp ngajak ngmg temen kelas bta lo gabisa";0;0;0;0;in;1323870717633462273;1663849206287855617;mingyu_teknik;https://twitter.com/mingyu_teknik/status/1663849206287855617
Wed May 31 09:53:28 +0000 2023;1663846145733578753;"aku ngegibah sm abang jaklingko ajg kocak bgt TAPI KENAPA JADI KYK GUA YG BAWA PENGARUH BURUK buat orang sekitar ya";0;0;0;0;in;1522609164077264897;1663846145733578753;laszyy;https://twitter.com/laszyy/status/1663846145733578753
Wed May 31 08:37:54 +0000 2023;1663827127484178432;"@tanyakanrl @linebankid Buat jaklingko bisa ngga kalo boleh tau";0;0;0;0;in;1412986873266327553;1663414954312232961;SFatunnada;https://twitter.com/SFatunnada/status/1663827127484178432
Wed May 31 08:21:49 +0000 2023;1663823079225831424;"Selalu, setiap kali nunggu jaklingko dan berakhir putus asa dgn naik angkutan umum, dibelakangnya malah adaa.   Definisi melatih kesabaran, dan meluangkan rezeki";0;0;0;0;in;1603708997839618055;1663823079225831424;pukiiiis_;https://twitter.com/pukiiiis_/status/1663823079225831424
Wed May 31 08:14:23 +0000 2023;1663821208952127489;"@AR_masbrew Kawasan rumah anda kan , elite yeee. Kayaknya free khusus angkot jaklingko deh. Trans Jakarta masih berbayar.";0;0;0;0;in;85278896;1663811311795589122;sandal_bakiak;https://twitter.com/sandal_bakiak/status/1663821208952127489
Wed May 31 08:11:32 +0000 2023;1663820493546471424;"@sandal_bakiak jaklingko di smua koridor kabay?tmpat aku ke sta itu masih gratis tis tis.. tanpa kartu jaklingko.wkwk";0;1;0;0;in;1383638382576693250;1663811311795589122;AR_masbrew;https://twitter.com/AR_masbrew/status/1663820493546471424
Wed May 31 08:09:36 +0000 2023;1663820005065228288;"@AR_masbrew Kelebihan jaklingko adalah gratis tis tis";0;1;0;0;in;85278896;1663811311795589122;sandal_bakiak;https://twitter.com/sandal_bakiak/status/1663820005065228288
Wed May 31 07:52:41 +0000 2023;1663815748685529088;"Pejuang public transport di Jakarta paham banget gimana susah nya cari ni kartu.. sedangkan moda jaklingko udah banyak beroperasi saat ini.";0;0;0;4;in;85278896;1663811311795589122;sandal_bakiak;https://twitter.com/sandal_bakiak/status/1663815748685529088
Wed May 31 07:51:11 +0000 2023;1663815373668622336;"@sandal_bakiak oh kabay pke bank DKI?g ada kelebihannya apa2 kan itu kl pake kartu jaklingko? aku pake emoney sama flazz buat wara wiri pake KRL,MRT,Jaklingko, TJ,";0;1;0;0;in;1383638382576693250;1663811311795589122;AR_masbrew;https://twitter.com/AR_masbrew/status/1663815373668622336
Wed May 31 07:42:43 +0000 2023;1663813240521125888;"@AR_masbrew Saat ini jaklingko masih keluaran bank dki, tapi bisa top up pake qris kok.";0;2;0;0;in;85278896;1663811311795589122;sandal_bakiak;https://twitter.com/sandal_bakiak/status/1663813240521125888
Wed May 31 07:38:30 +0000 2023;1663812178879864833;"@sandal_bakiak jaklingko harus pake kartu khusus kabay?";0;1;0;0;in;1383638382576693250;1663811311795589122;AR_masbrew;https://twitter.com/AR_masbrew/status/1663812178879864833
Wed May 31 07:35:03 +0000 2023;1663811311795589122;"AKHIRNYA DAPAT KARTU JAKLINGKO. ALLAHU AKBAR  Alhamdulillah.";0;4;0;0;in;85278896;1663811311795589122;sandal_bakiak;https://twitter.com/sandal_bakiak/status/1663811311795589122
Wed May 31 06:50:57 +0000 2023;1663800214740946944;"@ferascorp @sofriee @ricuhrd @Sofwan2310 @Aggiladitia @denismalhotra lu ngomong gini ya krena modal benci doang sama anies wkwk, gw tinggal di jakarta, gw bersyukur anies bisa kasih akses tranportasi umum 0 rupiah jaklingko kemana2 naik angkot premium gratis, g tau kalau ganjar  please be smart";0;1;0;0;in;1161198983353520128;1663329388799328256;ardian55750731;https://twitter.com/ardian55750731/status/1663800214740946944
Wed May 31 06:38:53 +0000 2023;1663797176210960388;"Min @PT_Transjakarta jaklingko 12c beroperasi gak";0;1;0;0;in;171439084;1663797176210960388;Debooyy_;https://twitter.com/Debooyy_/status/1663797176210960388
Wed May 31 06:14:30 +0000 2023;1663791040619495425;"Rumah tempat ngajar kali bener-bener deket dari rumah ke kokas masyaAllah 🥺 naik jaklingko 0rupiah. Monangis Allah baik bangett";0;1;0;0;in;304490981;1663791040619495425;Affisme;https://twitter.com/Affisme/status/1663791040619495425
Wed May 31 05:40:21 +0000 2023;1663782444871598085;"siang min, hari minggu lalu saya beli kartu jaklingko di halte busway pgc. karna uang saya 100rb kembaliannya ga keluar dari mesin, ternyata harus uang pas katanya. akhirnya saya diminta no rek untuk refund kembaliannya tp sampe skrg belum juga ke refund uangnya @PT_Transjakarta";0;1;0;1;in;952478573440282624;1663782444871598085;youthfears;https://twitter.com/youthfears/status/1663782444871598085
Wed May 31 05:16:23 +0000 2023;1663776415375048704;"Ohya, di sini kalian juga bisa top up kartu Jaklingko kalian (foto ke-2) atau kalian bisa beli kartu multi-trip/single trip dari vending machine punya MRT (foto ke-1). https://t.co/FX5dhsq5cY";0;1;0;0;in;1276885556794847233;1663716066701492224;ex_undis_solum;https://twitter.com/ex_undis_solum/status/1663776415375048704
Wed May 31 05:05:14 +0000 2023;1663773611080163328;"@Mdy_Asmara1701 Ngki pnsiunan dg brbagai kbijakan Bang Anies 8p % t.portasi   umum baik (Jaklingko (gratis) , Tran Jkt ex Met. Mini lewat ke dkt komplex , smp com. line klo ke luar kota yg efisien mrh drpd bw mbl pribadi.  Sjk Bang  Anies mnjbt komp Ngki (daerah Jaksel)  tdk prnh banjir lg";0;0;0;0;in;1383808773102264323;1663543535017283584;DeddyKusdedi3;https://twitter.com/DeddyKusdedi3/status/1663773611080163328
Wed May 31 04:52:12 +0000 2023;1663770329137942529;"Gua demen banget naik jaklingko selain karena gratis adalah karena percakapan antar penumpang maupun pengemudinya macem-macem";0;1;0;0;in;1879688112;1663770329137942529;indomieaddict;https://twitter.com/indomieaddict/status/1663770329137942529
Wed May 31 04:16:44 +0000 2023;1663761405621973000;"Karna naik Jaklingko, tiap pagi berasa masuk zona Hunger Games😂";0;0;0;0;in;73322162;1663761405621973000;mamaindiaalfa;https://twitter.com/mamaindiaalfa/status/1663761405621973000
Wed May 31 03:19:52 +0000 2023;1663747090907004934;"@kegblgnunfaedh Waktu itu gw pernah naik jaklingko, mau turun angkotnya tapi baru juga angkat pantat gw abang nya udah jalanin mobil nya njirr";0;0;0;0;in;1391056607337869316;1663532963559247875;adiknyasadam;https://twitter.com/adiknyasadam/status/1663747090907004934
Wed May 31 03:00:30 +0000 2023;1663742220850331648;"jaklingko kea kontol kartu gua ke blokir gara2 supirnya buru2 kontol emg";0;1;0;0;in;1179072024720728064;1663742220850331648;newerabydina;https://twitter.com/newerabydina/status/1663742220850331648
Wed May 31 03:00:24 +0000 2023;1663742192568119308;"eh bisa ga sih supir jaklingko bawanya ga usah brutal anj 😭😭😭😭😭😭";0;0;0;0;in;1032587363891863553;1663742192568119308;mochije;https://twitter.com/mochije/status/1663742192568119308
Wed May 31 02:40:02 +0000 2023;1663737067166404609;"Untuk full trip ini aku juga pake kartu Jaklingko buat semua moda. Saldo awalnya start dari 109K IDR. https://t.co/MkeMaDIq34";0;1;0;0;in;1276885556794847233;1663716066701492224;ex_undis_solum;https://twitter.com/ex_undis_solum/status/1663737067166404609
Wed May 31 02:25:10 +0000 2023;1663733326547656705;"Sayang sekali kemarin kartu flazz bca jaklingko jatoh di busway";0;1;0;0;in;170284216;1663733326547656705;insanul94;https://twitter.com/insanul94/status/1663733326547656705
Wed May 31 02:15:41 +0000 2023;1663730940986765312;"@denizariani Menggunakan uang elektronik bank (JakLingko, E-Money (Bank Mandiri), Brizzi (Bank BRI), TapCash (Bank BNI), Flazz (Bank BCA), dan JakCard (Bank DKI). Terima kasih atas pengertiannya. (2)";0;0;0;0;in;78847590;1663730495656689665;mrtjakarta;https://twitter.com/mrtjakarta/status/1663730940986765312
Wed May 31 02:07:33 +0000 2023;1663728894699241473;"Maraknya masyarakat menjadikan Jaklingko sbg angkutan umum pilihan adalah bukti hasil kerja Pak Anies yg totalitas itu mensejahterakan masyarakat";0;0;0;0;in;1071201957207920640;1663728894699241473;devinyahyunjin;https://twitter.com/devinyahyunjin/status/1663728894699241473
Wed May 31 02:03:50 +0000 2023;1663727957490409473;"Jaklingko adalah hasil dari Inisiatif dan program totalitas yang dilakukan oleh Pak Anies";0;0;0;0;in;1590223993118035969;1663727957490409473;Tatha111_;https://twitter.com/Tatha111_/status/1663727957490409473
Wed May 31 02:00:59 +0000 2023;1663727240671117314;"@deviwulandari Menggunakan uang elektronik bank (JakLingko, E-Money (Bank Mandiri), Brizzi (Bank BRI), TapCash (Bank BNI), Flazz (Bank BCA), dan JakCard (Bank DKI). Terima kasih atas pengertiannya. (2)";0;0;0;0;in;78847590;1663725839937314816;mrtjakarta;https://twitter.com/mrtjakarta/status/1663727240671117314
Wed May 31 01:44:32 +0000 2023;1663723101098741761;"@PT_Transjakarta kak mohon info untuk jaklingko rute cawang-eco park hari ini beroperasi ngga ya? Sudah mau 3menit menunggu tapi nggada yang lewat. Padahal ada 2 rangkaian mobil loh.";0;1;0;0;in;820197481120026624;1663723101098741761;fanstelorgulung;https://twitter.com/fanstelorgulung/status/1663723101098741761
Wed May 31 01:41:38 +0000 2023;1663722369788280832;"Terintegrasi tapi kalo abis naik jaklingko kartunya mesti nunggu 10 menit buat naik tj";0;0;0;0;in;1617274465;1663722369788280832;itsheryl21;https://twitter.com/itsheryl21/status/1663722369788280832
Wed May 31 01:02:42 +0000 2023;1663712574159065088;"@berburusales yuhuu masih rejeki.  Sesi pagi &amp  malem selalu lagi di jaklingko 😅🤭 https://t.co/vsvVuyGsMZ";0;1;0;1;in;179375583;1663711388018290688;timmychristiann;https://twitter.com/timmychristiann/status/1663712574159065088
Wed May 31 01:01:26 +0000 2023;1663712256797073413;"@i_m_mortal_ yuhuu masih rejeki.  Sesi pagi &amp  malem selalu lagi di jaklingko 😅🤭 https://t.co/SvoEPIflCU";0;2;0;2;in;179375583;1663709376408965120;timmychristiann;https://twitter.com/timmychristiann/status/1663712256797073413
Wed May 31 00:43:02 +0000 2023;1663707622883860480;"#INFOTRANSJAKARTA allo min saya mau nanya apakah jaklingko itu kalau di bus stop ga ada orang tidak berhenti karna saya liat jaklingko jurusan Cibubur-kampung rambutan dengan no body kwk 408 itu tidak berhenti..karna saya tadi sudah lari lari namun ternyata tidak berhenti.";0;0;0;0;in;1611738378151813122;1663707622883860480;novrians06;https://twitter.com/novrians06/status/1663707622883860480
Tue May 30 23:29:28 +0000 2023;1663689109573890049;"@indrani_bella Hai kak, mohon maaf atas ketidaknyamanannya. Untuk menggunakan Layanan Mikrotrans silakan menggunakan kartu yang berlogo Jaklingko. Terima kasih ^YJ";0;1;0;1;in;104556071;1663170731142955010;PT_Transjakarta;https://twitter.com/PT_Transjakarta/status/1663689109573890049
Tue May 30 23:11:26 +0000 2023;1663684573207887872;"@PT_Transjakarta Kok tiba-tiba aturannya berubah min, dulu ga harus berlogo JAKLINGKO tp kartu BUMN aja, skearang aturannya beda?";0;2;0;0;in;1236512381091471360;1663170731142955010;indrani_bella;https://twitter.com/indrani_bella/status/1663684573207887872
